#{"t_start": 1753683632.3801727, "env_id": "None"}
r,l,t
4.0,1,1.263041
10.0,1,1.263654
0.0,1,1.263847
4.0,1,1.264015
5.0,1,1.26418
2.0,1,1.264803
3.0,1,1.264995
0.0,1,1.265168
-10.0,1,1.265361
-11.0,1,1.267057
2.0,1,1.267293
1.0,1,1.26753
1.0,1,1.267729
5.0,1,1.271419
5.0,1,1.271817
5.0,1,1.27219
5.0,1,1.272579
1.0,1,1.274909
5.0,1,1.27531
1.0,1,1.2757
5.0,1,1.276063
3.0,1,1.278174
5.0,1,1.278589
-10.0,1,1.278807
-10.0,1,1.279001
5.0,1,1.281091
1.0,1,1.281513
-11.0,1,1.281892
5.0,1,1.282255
5.0,1,1.284432
5.0,1,1.284661
5.0,1,1.285024
5.0,1,1.285428
5.0,1,1.287696
10.0,1,1.287928
5.0,1,1.288292
3.0,1,1.288531
5.0,1,1.290735
5.0,1,1.291123
1.0,1,1.291513
1.0,1,1.291888
-11.0,1,1.293956
5.0,1,1.294367
6.0,1,1.294588
3.0,1,1.294784
5.0,1,1.297019
1.0,1,1.297446
1.0,1,1.297671
-12.0,1,1.297871
-10.0,1,1.299945
5.0,1,1.300353
1.0,1,1.300732
0.0,1,1.300944
4.0,1,1.303041
1.0,1,1.303449
5.0,1,1.303825
5.0,1,1.304192
5.0,1,1.306453
1.0,1,1.306838
0.0,1,1.307269
0.0,1,1.307657
1.0,1,1.309937
5.0,1,1.310326
1.0,1,1.31072
1.0,1,1.310932
5.0,1,1.313135
5.0,1,1.313557
1.0,1,1.313931
1.0,1,1.314294
1.0,1,1.316522
1.0,1,1.316913
3.0,1,1.317127
1.0,1,1.317509
1.0,1,1.319749
5.0,1,1.320146
5.0,1,1.320531
5.0,1,1.320897
-10.0,1,1.322946
5.0,1,1.32343
5.0,1,1.323653
1.0,1,1.324007
-10.0,1,1.326173
5.0,1,1.32659
6.0,1,1.326967
-10.0,1,1.327185
5.0,1,1.329486
5.0,1,1.329884
5.0,1,1.330255
10.0,1,1.330487
-11.0,1,1.332694
5.0,1,1.333092
3.0,1,1.33331
6.0,1,1.333541
5.0,1,1.335695
5.0,1,1.335921
2.0,1,1.336116
5.0,1,1.336492
3.0,1,1.338582
1.0,1,1.338977
7.0,1,1.339193
5.0,1,1.339573
3.0,1,1.341657
5.0,1,1.342054
0.0,1,1.342448
6.0,1,1.342825
0.0,1,1.345064
3.0,1,1.345299
2.0,1,1.345534
5.0,1,1.345895
1.0,1,1.348094
5.0,1,1.348514
6.0,1,1.348744
5.0,1,1.349099
2.0,1,1.351169
5.0,1,1.351603
6.0,1,1.351822
-11.0,1,1.352184
5.0,1,1.354426
10.0,1,1.354662
4.0,1,1.355026
5.0,1,1.355415
5.0,1,1.357509
1.0,1,1.357901
3.0,1,1.358114
6.0,1,1.358488
0.0,1,1.360706
7.0,1,1.360948
1.0,1,1.361313
5.0,1,1.361712
-10.0,1,1.363788
5.0,1,1.364184
5.0,1,1.364578
2.0,1,1.364794
1.0,1,1.367018
-8.0,1,1.367251
1.0,1,1.367669
3.0,1,1.367897
0.0,1,1.370115
6.0,1,1.370529
4.0,1,1.370906
6.0,1,1.37127
5.0,1,1.373551
-11.0,1,1.373787
0.0,1,1.374152
4.0,1,1.37454
5.0,1,1.376763
5.0,1,1.377156
6.0,1,1.377555
6.0,1,1.377925
6.0,1,1.379981
0.0,1,1.380396
2.0,1,1.380616
5.0,1,1.380972
0.0,1,1.383372
6.0,1,1.383772
5.0,1,1.384144
5.0,1,1.38453
5.0,1,1.38675
5.0,1,1.38715
5.0,1,1.387556
5.0,1,1.387934
7.0,1,1.390152
4.0,1,1.390567
6.0,1,1.390942
5.0,1,1.391326
5.0,1,1.393595
1.0,1,1.394049
5.0,1,1.394449
7.0,1,1.394668
1.0,1,1.396864
7.0,1,1.397259
1.0,1,1.39751
7.0,1,1.397884
4.0,1,1.400156
4.0,1,1.400409
6.0,1,1.400779
1.0,1,1.401144
2.0,1,1.403264
6.0,1,1.403691
3.0,1,1.403912
1.0,1,1.404134
2.0,1,1.406175
4.0,1,1.40659
7.0,1,1.406968
3.0,1,1.407182
7.0,1,1.40944
6.0,1,1.409833
4.0,1,1.410208
7.0,1,1.410596
7.0,1,1.412813
4.0,1,1.413213
0.0,1,1.413608
7.0,1,1.413827
4.0,1,1.416068
7.0,1,1.416479
6.0,1,1.416857
5.0,1,1.417091
5.0,1,1.419516
1.0,1,1.419749
4.0,1,1.420112
4.0,1,1.420509
6.0,1,1.422758
4.0,1,1.423156
4.0,1,1.423568
4.0,1,1.423941
6.0,1,1.426138
-10.0,1,1.426399
6.0,1,1.42678
7.0,1,1.427144
-11.0,1,1.429224
4.0,1,1.429637
2.0,1,1.429854
4.0,1,1.430216
7.0,1,1.432458
4.0,1,1.432853
4.0,1,1.433239
6.0,1,1.433622
7.0,1,1.436428
-11.0,1,1.436667
7.0,1,1.437033
4.0,1,1.437425
4.0,1,1.439698
7.0,1,1.440091
4.0,1,1.440495
4.0,1,1.440867
7.0,1,1.44308
4.0,1,1.443496
6.0,1,1.44387
5.0,1,1.444249
4.0,1,1.446496
4.0,1,1.446887
-12.0,1,1.447103
6.0,1,1.447486
7.0,1,1.449717
4.0,1,1.450111
4.0,1,1.4505
-10.0,1,1.450719
5.0,1,1.452937
6.0,1,1.453352
4.0,1,1.453734
4.0,1,1.454098
4.0,1,1.456309
4.0,1,1.456731
6.0,1,1.457104
1.0,1,1.457322
